iter	Passed	Remaining
250	996	2973
251	1000	2969
252	1004	2965
253	1008	2961
254	1011	2955
255	1015	2950
256	1018	2945
257	1022	2940
258	1026	2935
259	1029	2931
260	1033	2925
261	1036	2920
262	1040	2916
263	1044	2911
264	1048	2907
265	1051	2901
266	1055	2896
267	1059	2894
268	1063	2890
269	1067	2885
270	1070	2880
271	1075	2878
272	1078	2873
273	1082	2868
274	1086	2863
275	1089	2858
276	1093	2853
277	1097	2849
278	1100	2844
279	1104	2839
280	1108	2836
281	1112	2832
282	1115	2827
283	1120	2824
284	1124	2820
285	1128	2817
286	1132	2812
287	1136	2808
288	1140	2804
289	1144	2800
290	1147	2796
291	1152	2794
292	1156	2789
293	1159	2784
294	1163	2779
295	1166	2774
296	1170	2770
297	1174	2767
298	1178	2763
299	1182	2760
300	1186	2755
301	1190	2750
302	1194	2747
303	1198	2743
304	1202	2739
305	1205	2734
306	1209	2729
307	1212	2724
308	1216	2720
309	1220	2716
310	1224	2712
311	1228	2709
312	1232	2704
313	1235	2699
314	1239	2695
315	1243	2690
316	1246	2685
317	1250	2682
318	1254	2677
319	1258	2673
320	1262	2670
321	1266	2667
322	1270	2663
323	1274	2658
324	1277	2653
325	1281	2648
326	1285	2645
327	1289	2641
328	1293	2637
329	1297	2633
330	1301	2629
331	1304	2624
332	1308	2620
333	1311	2615
334	1315	2610
335	1318	2605
336	1322	2601
337	1325	2596
338	1329	2591
339	1332	2587
340	1336	2582
341	1339	2577
342	1343	2573
343	1346	2568
344	1350	2563
345	1353	2559
346	1357	2555
347	1361	2551
348	1365	2546
349	1369	2543
350	1372	2538
351	1376	2533
352	1379	2528
353	1383	2523
354	1386	2519
355	1389	2514
356	1393	2510
357	1397	2505
358	1400	2500
359	1403	2495
360	1407	2490
361	1410	2486
362	1413	2481
363	1417	2476
364	1421	2472
365	1424	2467
366	1428	2463
367	1432	2459
368	1435	2455
369	1439	2451
370	1443	2446
371	1447	2442
372	1450	2438
373	1455	2435
374	1458	2431
375	1463	2429
376	1467	2425
377	1471	2420
378	1475	2417
379	1478	2413
380	1482	2409
381	1487	2405
382	1491	2402
383	1494	2397
384	1498	2393
385	1502	2389
386	1505	2384
387	1509	2380
388	1512	2375
389	1516	2371
390	1520	2368
391	1524	2363
392	1527	2359
393	1531	2355
394	1535	2351
395	1539	2347
396	1543	2343
397	1546	2339
398	1549	2334
399	1553	2330
400	1557	2326
401	1561	2322
402	1565	2319
403	1569	2315
404	1572	2310
405	1576	2306
406	1580	2302
407	1584	2298
408	1587	2293
409	1591	2289
410	1594	2284
411	1597	2280
412	1601	2276
413	1605	2272
414	1609	2268
415	1612	2263
416	1616	2260
417	1620	2255
418	1624	2252
419	1628	2248
420	1631	2243
421	1635	2239
422	1638	2235
423	1642	2231
424	1645	2226
425	1648	2221
426	1651	2216
427	1655	2212
428	1658	2208
